Winding,Cooling System,OPS,Oil,Profit
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,0.0
1.0,1.0,1.0,0.6,0.0
1.0,1.0,1.0,0.4,0.0
1.0,1.0,1.0,0.2,0.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0,-413.2
1.0,1.0,0.8,0.8,-344.2
1.0,1.0,0.8,0.6,-344.2
1.0,1.0,0.8,0.4,-344.2
1.0,1.0,0.8,0.2,-344.2
1.0,1.0,0.8,0.0,-344.2
1.0,1.0,0.6,1.0,-373.1
1.0,1.0,0.6,0.8,-304.2
1.0,1.0,0.6,0.6,-302.2
1.0,1.0,0.6,0.4,-302.1
1.0,1.0,0.6,0.2,-302.4
1.0,1.0,0.6,0.0,-302.1
1.0,1.0,0.4,1.0,-333.1
1.0,1.0,0.4,0.8,-262.1
1.0,1.0,0.4,0.6,-262.1
1.0,1.0,0.4,0.4,-262.1
1.0,1.0,0.4,0.2,-262.2
1.0,1.0,0.4,0.0,-263.2
1.0,1.0,0.2,1.0,-333.2
1.0,1.0,0.2,0.8,-262.1
1.0,1.0,0.2,0.6,-262.1
1.0,1.0,0.2,0.4,-262.1
1.0,1.0,0.2,0.2,-262.2
1.0,1.0,0.2,0.0,-263.2
1.0,1.0,0.0,1.0,-333.1
1.0,1.0,0.0,0.8,-264.3
1.0,1.0,0.0,0.6,-262.1
1.0,1.0,0.0,0.4,-262.1
1.0,1.0,0.0,0.2,-262.3
1.0,1.0,0.0,0.0,-263.2
1.0,0.8,1.0,1.0,-782.3
1.0,0.8,1.0,0.8,-782.3
1.0,0.8,1.0,0.6,-782.3
1.0,0.8,1.0,0.4,-782.3
1.0,0.8,1.0,0.2,-782.3
1.0,0.8,1.0,0.0,-782.3
1.0,0.8,0.8,1.0,-60.0
1.0,0.8,0.8,0.8,8.9
1.0,0.8,0.8,0.6,8.7
1.0,0.8,0.8,0.4,8.8
1.0,0.8,0.8,0.2,6.7
1.0,0.8,0.8,0.0,8.9
1.0,0.8,0.6,1.0,-20.1
1.0,0.8,0.6,0.8,48.3
1.0,0.8,0.6,0.6,50.7
1.0,0.8,0.6,0.4,50.7
1.0,0.8,0.6,0.2,51.0
1.0,0.8,0.6,0.0,50.5
1.0,0.8,0.4,1.0,20.0
