d_prime,load_effect,Profit
0.9889,4.9975,66.5158
0.9323,4.8106,10.3449
0.9657,4.8106,31.9328
0.9970,4.9470,90.3023
0.9758,5.0429,40.0316
0.9374,4.9066,12.1007
0.9182,4.8561,6.7723
0.9990,5.1338,127.5133
0.9091,4.9369,5.1991
0.9879,5.0732,63.2470
0.9172,4.9874,6.5752
0.9434,5.0429,14.6848
0.9535,5.0985,20.6360
0.9222,5.0379,7.6310
0.9141,5.0581,6.0189
0.9646,4.9773,30.7346
0.9414,4.8712,13.7559
0.9131,5.0783,5.8446
0.9101,5.0076,5.3537
0.9434,4.9520,14.6838
0.9212,4.7955,7.4049
0.9949,4.9722,91.9312
0.9030,4.9167,4.3683
0.9626,5.1288,28.5289
0.9798,4.8308,46.3012
0.9949,5.0429,94.7851
0.9737,4.9167,38.2569
0.9374,4.8359,12.1001
0.9960,5.0227,104.6272
0.9434,5.1187,14.6856
0.9172,4.8763,6.5747
0.9576,5.1439,23.8007
0.9586,5.1591,24.6709
0.9646,4.8712,30.7317
0.9354,4.9773,11.3610
0.9101,4.8965,5.3527
0.9444,4.9268,15.1748
0.9677,5.0177,33.8184
0.9000,4.9672,4.0060
0.9101,5.0934,5.3534
0.9364,5.0227,11.7250
0.9485,5.1692,17.3528
0.9414,5.1439,13.7586
0.9848,5.0934,59.9406
0.9455,4.8005,15.6859
0.9646,4.7955,30.7292
0.9091,5.0278,5.1994
0.9768,4.9520,40.9828
0.9758,4.8611,39.9939
0.9899,5.1439,69.0768
0.9576,4.8258,23.7941
0.9061,4.8662,4.7645
0.9707,4.7854,35.9335
0.9657,5.0884,31.9409
0.9202,4.9268,7.1875
0.9838,4.8460,54.8998
0.9303,5.1389,9.7271
0.9444,4.8510,15.1740
0.9364,5.0076,11.7248
0.9253,4.9470,8.3512
0.9818,5.1540,25.3076
0.9000,5.0985,4.0062
0.9232,5.0934,7.8634
0.9808,5.0581,46.8543
0.9374,5.1641,12.1036
0.9626,4.9015,28.5233
