Winding,Cooling System,OPS,Oil,Profit
1.0,0.0,0.0,0.8,247.40162
1.0,0.0,0.0,0.6,250.92383
1.0,0.0,0.0,0.4,250.84699
1.0,0.2,0.0,0.8,254.82314
1.0,0.6,0.0,0.6,246.17102
1.0,0.2,0.0,0.4,255.28523
1.0,0.0,0.0,0.0,204.34880
1.0,0.8,0.2,0.2,217.77731
1.0,0.4,0.2,0.0,208.49121
1.0,0.8,0.2,0.8,200.97243
1.0,0.8,0.0,0.6,219.05202
1.0,0.4,0.6,0.2,174.81995
1.0,0.6,0.0,0.0,244.66562
1.0,0.6,0.6,0.2,175.06143
1.0,0.2,0.4,0.8,212.84652
1.0,0.6,0.2,0.6,175.67915
1.0,0.6,0.4,0.4,215.46195
1.0,0.6,0.0,0.2,255.49228
1.0,0.0,0.4,0.4,209.52026
1.0,0.2,0.6,0.4,174.55372
1.0,0.2,0.4,0.6,215.28308
1.0,0.2,0.6,0.2,174.83752
1.0,0.2,0.2,0.4,174.11582
1.0,0.2,0.6,0.0,174.40175
1.0,0.2,0.0,0.6,255.17197
1.0,0.0,0.6,0.8,167.81983
1.0,0.0,0.4,0.8,208.18542
1.0,0.2,0.4,0.2,175.20334
1.0,0.2,0.2,0.6,215.05715
1.0,0.0,0.6,0.4,170.44162
