Winding,Cooling System,OPS,Oil,Profit
35,20,35,1,45
35,20,35,4,-5555
35,20,35,7,-3815
35,20,35,10,-7597
35,25,5,1,-2506
35,25,5,4,-2617
35,25,5,7,-50
35,25,5,10,-154
35,25,10,1,-29
35,25,10,4,-51
35,25,10,7,-1897
35,25,10,10,-1950
35,25,15,1,-31
35,25,15,4,49
35,25,15,7,-5673
35,25,15,10,-1139
35,25,20,1,12
35,25,20,4,73
35,25,20,7,-1194
35,25,20,10,-2626
35,25,25,1,65
35,25,25,4,-4885
35,25,25,7,-5002
35,25,25,10,-5515
35,25,30,1,65
35,25,30,4,-4885
35,25,30,7,-5002
35,25,30,10,-5515
35,25,35,1,65
35,25,35,4,-4885
35,25,35,7,-5002
35,25,35,10,-5515
40,5,5,1,-159
40,5,5,4,-740
40,5,5,7,-766
40,5,5,10,-675
40,5,10,1,-107
40,5,10,4,-139
40,5,10,7,-53
40,5,10,10,-29
40,5,15,1,-107
40,5,15,4,-26
40,5,15,7,-4
40,5,15,10,-23
40,5,20,1,-88
40,5,20,4,-33
40,5,20,7,-4520
40,5,20,10,-4966
40,5,25,1,-8
40,5,25,4,52
40,5,25,7,65
40,5,25,10,-54
40,5,30,1,-8
40,5,30,4,52
40,5,30,7,65
40,5,30,10,-54
40,5,35,1,-8
40,5,35,4,52
40,5,35,7,65
40,5,35,10,-54
40,10,5,1,-183
40,10,5,4,-3837
40,10,5,7,-126
40,10,5,10,-88
40,10,10,1,-68
40,10,10,4,-58
40,10,10,7,-34
40,10,10,10,-44
40,10,15,1,-10
40,10,15,4,8
40,10,15,7,15
40,10,15,10,-1251
40,10,20,1,-18
40,10,20,4,-3168
40,10,20,7,-7492
40,10,20,10,-20
40,10,25,1,32
40,10,25,4,-4876
40,10,25,7,8
40,10,25,10,-3801
40,10,30,1,32
40,10,30,4,-4876
40,10,30,7,8
40,10,30,10,-3801
40,10,35,1,32
40,10,35,4,-4876
40,10,35,7,8
40,10,35,10,-3801
40,15,5,1,-142
40,15,5,4,-82
40,15,5,7,-74
40,15,5,10,-48
40,15,10,1,-26
40,15,10,4,-11
40,15,10,7,31
40,15,10,10,-2416
40,15,15,1,-34
40,15,15,4,-1858
40,15,15,7,10
40,15,15,10,-7476
40,15,20,1,-66
40,15,20,4,16
40,15,20,7,-5026
40,15,20,10,-7500
40,15,25,1,49
40,15,25,4,-5567
40,15,25,7,-6026
40,15,25,10,-5051
40,15,30,1,49
40,15,30,4,-5567
40,15,30,7,-6026
40,15,30,10,-5051
40,15,35,1,49
40,15,35,4,-5567
40,15,35,7,-6026
40,15,35,10,-5051
40,20,5,1,-121
40,20,5,4,-114
40,20,5,7,-115
40,20,5,10,-87
40,20,10,1,-31
40,20,10,4,7
40,20,10,7,23
40,20,10,10,-7423
40,20,15,1,-104
40,20,15,4,-2503
40,20,15,7,-2463
40,20,15,10,-4384
40,20,20,1,-4
40,20,20,4,-6
40,20,20,7,-4307
40,20,20,10,-5002
40,20,25,1,45
40,20,25,4,-5555
40,20,25,7,-3815
40,20,25,10,-7601
40,20,30,1,45
40,20,30,4,-5555
40,20,30,7,-3815
40,20,30,10,-7601
40,20,35,1,45
40,20,35,4,-5555
40,20,35,7,-3815
40,20,35,10,-7597
40,25,5,1,-2506
40,25,5,4,-2617
40,25,5,7,-50
40,25,5,10,-154
40,25,10,1,-29
40,25,10,4,-51
40,25,10,7,-1897
40,25,10,10,-1950
40,25,15,1,-31
40,25,15,4,49
40,25,15,7,-5673
40,25,15,10,-1139
40,25,20,1,12
40,25,20,4,73
40,25,20,7,-1194
40,25,20,10,-2626
40,25,25,1,65
40,25,25,4,-4885
40,25,25,7,-5002
40,25,25,10,-5515
40,25,30,1,65
40,25,30,4,-4885
40,25,30,7,-5002
40,25,30,10,-5518
40,25,35,1,65
40,25,35,4,-4885
40,25,35,7,-5002
40,25,35,10,-5518
45,5,5,1,-159
45,5,5,4,-740
45,5,5,7,-766
45,5,5,10,-675
45,5,10,1,-107
45,5,10,4,-139
45,5,10,7,-53
45,5,10,10,-29
45,5,15,1,-107
45,5,15,4,-26
45,5,15,7,-4
45,5,15,10,-23
