
chi [*,*] (tr)
:  Cooling_System OPS Oil Winding    :=
0         0         0   0     0
1         0         0   0     0
2         0         0   0     0
3         0         0   0     0
4         0         0   0     0
5         0         0   0     0
6         0         0   0     0
7         0         0   0     0
8         0         0   0     0
9         0         0   0     0
10        0         1   1     0
11        0         0   0     0
12        0         0   0     0
13        0         0   0     0
14        0         0   0     0
15        0         0   0     0
16        0         0   0     0
17        0         0   0     0
18        0         0   0     0
19        0         0   0     0
20        0         0   0     0
21        0         0   0     0
22        0         0   0     0
23        0         0   0     0
24        0         0   0     0
25        0         0   0     0
26        0         0   0     0
27        0         0   0     0
28        1         0   0     0
29        0         1   1     0
30        0         0   0     0
31        0         0   0     0
32        0         0   0     0
33        0         0   0     0
34        0         0   0     0
35        0         0   0     0
36        0         0   0     0
37        0         0   0     0
38        0         0   0     0
39        0         0   1     0
40        0         0   0     0
41        0         0   0     0
42        0         0   0     0
43        0         0   0     0
44        0         0   0     0
45        0         0   0     0
46        0         0   0     0
47        0         0   0     0
48        0         0   0     0
49        0         0   0     0
50        0         0   0     0
;

q [*] :=
  90 0.13847      390 0.109071     690 0.128983     990 0.126387
  91 0.13832      391 0.108953     691 0.128956     991 0.126387
  92 0.13817      392 0.108835     692 0.128929     992 0.126387
  93 0.13802      393 0.108717     693 0.128902     993 0.126387
  94 0.13787      394 0.108599     694 0.128876     994 0.126387
  95 0.13772      395 0.108481     695 0.128849     995 0.126387
  96 0.137571     396 0.108363     696 0.475655     996 0.126387
  97 0.137422     397 0.108246     697 0.374878     997 0.126387
  98 0.137273     398 0.108128     698 0.374878     998 0.126387
  99 0.137124     399 0.108011     699 0.374878     999 0.126387
 100 0.136975     400 0.107894     700 0.374878    1000 0.126387
 101 0.136826     401 0.107777     701 0.374878    1001 0.126387
 102 0.136678     402 0.10766      702 0.374878    1002 0.126387
 103 0.13653      403 0.107543     703 0.374878    1003 0.126387
 104 0.136381     404 0.107426     704 0.374878    1004 0.126387
 105 0.136233     405 0.10731      705 0.374878    1005 0.126387
 106 0.136086     406 0.107193     706 0.374878    1006 0.126387
 107 0.135938     407 0.107077     707 0.374878    1007 0.126387
 108 0.135791     408 0.106961     708 0.374878    1008 0.118942
 109 0.135643     409 0.106845     709 0.374878    1009 0.118813
 110 0.135496     410 0.106729     710 0.374878    1010 0.118684
 111 0.135349     411 0.106613     711 0.374878    1011 0.118556
 112 0.135202     412 0.106497     712 0.374878    1012 0.118427
 113 0.135055     413 0.106382     713 0.374878    1013 0.118299
 114 0.134909     414 0.106266     714 0.374878    1014 0.11817
 115 0.134763     415 0.106151     715 0.374878    1015 0.118042
 116 0.134616     416 0.106036     716 0.374878    1016 0.117914
