Nodes Current_Node  Objective_Bounds Work  Incumbent BestBd   Gap  Depth Time         
 132612 85897  628.02106  181  565  548.54859 5024.00000   816%   499 12174s
 132980 86551 1145.60267   65  620  548.54859 5024.00000   816%   502 12269s
 133754 87227 1219.73243  184 1764  548.54859 5024.00000   816%   505 12358s
 134456 88443 4953.66837   41 2100  548.54859 5024.00000   816%   506 12434s
 135741 89011 4906.31479   61 2070  548.54859 5024.00000   816%   506 12514s
 136404 89576 2880.08023  171 1776  548.54859 5024.00000   816%   508 12607s
 137054 90114  873.54383  187  739  548.54859 5024.00000   816%   511 12700s
 137682 90704 2343.17583  190 1747  548.54859 5024.00000   816%   513 12794s
 138547 91097 1154.67879  101  634  548.54859 5024.00000   816%   516 12882s
 139070 91101     cutoff  132       548.54859 5024.00000   816%   518 13124s
 139078 91115  623.01231  132  468  548.54859 5024.00000   816%   518 13215s
 139092 91422  623.01231  133  468  548.54859 5024.00000   816%   518 13295s
 139459 92427 4127.58427  101 1921  548.54859 5024.00000   816%   519 13389s
 140612 93183 2504.76519  169 1492  548.54859 5024.00000   816%   520 13487s
 141474 94355  795.26332  168  539  548.54859 5024.00000   816%   522 13583s
 142812 95474  646.38285  190 1644  548.54859 5024.00000   816%   522 13680s
 144036 96114  808.47535  230 1328  548.54859 5024.00000   816%   523 13767s
 144781 97380 3807.98958  105 1796  548.54859 5024.00000   816%   525 13856s
 146150 97942 2659.25052  145 1445  548.54859 5024.00000   816%   525 13929s
 146784 98919     cutoff  198       548.54859 5024.00000   816%   526 14016s
 147868 99100 1476.65011  183 1668  548.54859 5024.00000   816%   527 14111s
 148049 100191  754.04698  215 1641  548.54859 5024.00000   816%   529 14216s
 149195 101112  549.30935  465 1281  548.54859 5024.00000   816%   529 14309s
 150219 101503 2778.50991  154 1827  548.54859 5024.00000   816%   528 14388s
 150624 102413 1096.77271  212 1649  548.54859 5024.00000   816%   530 14474s
 151622 103619  617.58579  124  984  548.54859 5024.00000   816%   532 14567s
 152997 104448 1146.80230  205 1159  548.54859 5024.00000   816%   532 14650s
 154045 105263 2119.61708  168 1740  548.54859 5024.00000   816%   534 14726s
 155042 105682     cutoff  192       548.54859 5024.00000   816%   535 14798s
 155487 106193 4727.16215   89 2075  548.54859 5024.00000   816%   537 14873s
 156130 106199 4727.13550   94 2069  548.54859 5024.00000   816%   538 14968s
 156136 106388 4723.19895   94 2063  548.54859 5024.00000   816%   538 15249s
 156357 106843 4393.06165   97 2041  548.54859 5024.00000   816%   539 15313s
 156820 107533 1089.83873   99  531  548.54859 5024.00000   816%   541 15403s
 157574 108033 1058.95687  105  644  548.54859 5024.00000   816%   544 15496s
 158170 108645 1247.96804   74  827  548.54859 5024.00000   816%   549 15605s
 158854 108837 infeasible   99       548.54859 5024.00000   816%   550 15665s
 159054 109794  661.14902  100  610  548.54859 5024.00000   816%   551 15745s
 160115 110837 1017.00147  189 1483  548.54859 5024.00000   816%   552 15836s
 161234 111640  700.55599  159  729  548.54859 5024.00000   816%   552 15913s
 162158 112474 4300.06825   94 1967  548.54859 5024.00000   816%   554 15983s
 163058 113325  768.04263  208 1637  548.54859 5024.00000   816%   554 16058s
 164003 114119 4665.07358   51 2073  548.54859 5024.00000   816%   554 16128s
 164897 114904 1036.09315  205 1679  548.54859 5024.00000   816%   554 16201s
 165783 116188  583.58684  311 1458  548.54859 5024.00000   816%   555 16287s
 167181 116475  729.77081  153  499  548.54859 5024.00000   816%   555 16353s
 167560 116658  950.46814   86  535  548.54859 5024.00000   816%   556 16433s
 167768 117077  973.61709   84  561  548.54859 5024.00000   816%   557 16504s
 168217 117732  973.61709   85  554  548.54859 5024.00000   816%   558 16583s
 168950 118127  619.21683  127  555  548.54859 5024.00000   816%   559 16665s
 169515 118534 infeasible  139       548.54859 5024.00000   816%   560 16725s
 170074 119130 3298.95617  101 2062  548.54859 5024.00000   816%   560 16797s
 170879 119950  809.16178  132 1122  548.54859 5024.00000   816%   561 16873s
 171780 121013 4268.58030   79 1860  548.54859 5024.00000   816%   562 16948s
 172994 121315 2237.28936  160 1570  548.54859 5024.00000   816%   562 17005s
 173387 122401  606.70301  236 1255  548.54859 5024.00000   816%   563 17098s
 174656 122406 4863.91209   74 2085  548.54859 5024.00000   816%   563 17438s
 174662 122590 4863.89201   75 2083  548.54859 5024.00000   816%   563 17509s
 174862 122859 3441.93846  122 1755  548.54859 5024.00000   816%   564 17555s
 175195 123540 3156.06718  134 1709  548.54859 5024.00000   816%   564 17656s
 175972 123878 4532.36475  114 2088  548.54859 5024.00000   816%   565 17789s
 176374 124566  804.52879  173  745  548.54859 5024.00000   816%   566 17867s
 177168 125532 2550.14752  150 1783  548.54859 5024.00000   816%   567 17940s
 178158 126265  570.47808  337 1394  548.54859 5024.00000   816%   567 17995s
 178964 126768 4903.63858   64 2102  548.54859 5024.00000   816%   566 18067s
 179515 127201  567.21504  242 1485  548.54859 5024.00000   816%   567 18140s
 180086 127854  918.04092  139  774  548.54859 5024.00000   816%   568 18222s
 180863 128027  985.38808  102  452  548.54859 5024.00000   816%   569 18272s
 181093 128676  577.73900  123  477  548.54859 5024.00000   816%   569 18353s
 181866 129647 2338.91593  160 1687  548.54859 5024.00000   816%   571 18438s
 182907 130318  549.99230  381 1387  548.54859 5024.00000   816%   571 18523s
 183663 130617 3501.89096  107 1766  548.54859 5024.00000   816%   572 18593s
 183978 131232  749.30219  211 1362  548.54859 5024.00000   816%   574 18672s
 184775 131937 2024.08572  191 1596  548.54859 5024.00000   816%   575 18744s
 185606 132368 1490.76473  191 1348  548.54859 5024.00000   816%   576 18820s
 186090 132869     cutoff  209       548.54859 5024.00000   816%   577 18899s
 186693 133525 4500.72172   95 2057  548.54859 5024.00000   816%   578 18978s
 187440 134160  599.49409  211 1475  548.54859 5024.00000   816%   580 19050s
 188088 135188  776.14540  152  554  548.54859 5024.00000   816%   581 19128s
 189190 135771 1241.01226  184 1545  548.54859 5024.00000   816%   581 19192s
 189854 136230 2838.53193  146 1584  548.54859 5024.00000   816%   581 19262s
 190434 136303 infeasible  102       548.54859 5024.00000   816%   583 19358s
 190525 136724 4982.10504   43 2106  548.54859 5024.00000   816%   583 19408s
 190952 137462 2780.24952  158 1845  548.54859 5024.00000   816%   583 19483s
 191798 137888 infeasible  203       548.54859 5024.00000   816%   584 19554s
 192370 138102  743.75522  210  721  548.54859 5024.00000   816%   586 19622s
 192650 138630 infeasible  221       548.54859 5024.00000   816%   587 19692s
 193316 139015 2881.08594  109 1749  548.54859 5024.00000   816%   587 19790s
 193733 139078 1392.40853  180 1685  548.54859 5024.00000   816%   588 19924s
 193796 140310  700.35625  238 1560  548.54859 5024.00000   816%   588 20002s
 195136 140712 infeasible  121       548.54859 5024.00000   816%   587 20059s
 195567 141198     cutoff  243       548.54859 5024.00000   816%   587 20130s
 196197 141496 4655.54135   59 2042  548.54859 5024.00000   816%   588 20190s
 196541 142042 1253.38009   65  597  548.54859 5024.00000   816%   590 20255s
 197173 142540  764.57501   94  461  548.54859 5024.00000   816%   591 20333s
 197792 142900     cutoff  116       548.54859 5024.00000   816%   591 20398s
 198282 143299 1302.28055   77  812  548.54859 5024.00000   816%   592 20465s
 198761 143906  937.95636   93  936  548.54859 5024.00000   816%   593 20515s
 199454 143958 3719.03265  100 1770  548.54859 5024.00000   816%   593 20683s
 199508 144488 3682.84466  101 1783  548.54859 5024.00000   816%   593 20738s
 200091 145043 4722.13736   63 2088  548.54859 5024.00000   816%   593 20820s
 200770 145797  589.90968  149  563  548.54859 5024.00000   816%   594 20889s
 201681 146753  782.42110  189 1703  548.54859 5023.15180   816%   594 20973s
 202675 147607  550.39441  439 1372  548.54859 5023.14826   816%   594 21042s
 203643 148360  603.57577  139  823  548.54859 5022.59980   816%   594 21103s
 204509 148870 1204.03254  115  742  548.54859 5022.59737   816%   594 21299s
 205089 149138 4658.61488   70 2098  548.54859 5022.59737   816%   593 21351s
 205454 149843 4102.55747  108 1906  548.54859 5022.58809   816%   593 21425s
 206314 150401 4821.91722  100 2175  548.54859 5022.51779   816%   593 21520s
 206878 151486 1936.76309  199 1712  548.54859 5022.50280   816%   594 21589s
 208019 152696 4646.47207   71 2096  548.54859 5022.41991   816%   593 21647s
 209302 153641 4543.86812   74 2044  548.54859 5022.40926   816%   592 21694s
 210304 154506  896.26670  186 1422  548.54859 5022.39980   816%   591 21741s
 211293 154983 2642.51511  164 1778  548.54859 5022.39980   816%   590 21787s
 211790 156017  774.45152  208 1638  548.54859 5022.39980   816%   590 21845s
 212861 156437  551.89011  458 1341  548.54859 5022.39899   816%   590 21943s
 213313 156673 2694.65678  154 1787  548.54859 5022.37468   816%   590 21982s
 213560 157492  647.54731  194 1699  548.54859 5022.36450   816%   590 22034s
 214450 158064  978.21329  194 1352  548.54859 5022.36234   816%   589 22089s
 215090 158676 4895.16295   71 2151  548.54859 5022.35928   816%   590 22145s
 215843 158943 3796.86033  122 1723  548.54859 5022.35928   816%   590 22199s
 216171 159084 1678.79149  175 1590  548.54859 5022.33531   816%   591 22434s
 216400 159228 4444.54939   63 2030  548.54859 5022.33531   816%   591 22511s
 216564 159436 3858.53115   96 2012  548.54859 5022.33531   816%   592 22557s
 216782 159852 1421.46019  174 1405  548.54859 5022.33249   816%   592 22626s
 217307 160333 4675.18658   67 2047  548.54859 5022.30305   816%   593 22685s
 217854 161081 4582.86415   77 2033  548.54859 5022.30305   816%   594 22763s
 218678 161249 1067.35454   81  504  548.54859 5022.30305   816%   595 22817s
H218761 157238                     554.0244821 5022.30305   807%   595 22817s
 218873 157555  721.58294  109  641  554.02448 5022.30305   807%   595 22872s
 219232 158136     cutoff  128       554.02448 5022.27092   807%   596 22942s
 219868 158340     cutoff  211       554.02448 5022.26836   807%   597 22998s
 220107 158709 4654.71542   69 2103  554.02448 5022.26836   807%   598 23066s
 220480 158958 1216.26219  171 1763  554.02448 5022.26836   807%   601 23121s
 220730 159557  586.88917  274 1282  554.02448 5022.26297   807%   601 23188s
 221368 160126 4975.22107   52 2116  554.02448 5022.26297   807%   602 23271s
 221989 160532 3170.44912  170 1934  554.02448 5022.26297   807%   603 23340s
 222485 160819 2258.51742  196 1812  554.02448 5022.26297   807%   604 23414s
 222856 161214 2292.03855  195 1752  554.02448 5022.26297   807%   606 23482s
 223275 161474  680.80954  195  624  554.02448 5022.26297   807%   607 23533s
H223477 161460                     554.0455809 5022.26297   806%   607 23533s
H223573 161539                     554.1966556 5022.26297   806%   607 23618s
H223823 161479                     554.2602050 5022.26297   806%   608 23618s
 223846 162036  686.64758  208  609  554.26021 5022.26297   806%   608 23691s
 224509 162643 1136.92449  210 1757  554.26021 5022.26297   806%   609 23768s
 225193 162981 1132.26085  211 1741  554.26021 5022.26297   806%   610 23831s
 225562 163465  855.67133  218 1733  554.26021 5022.26297   806%   611 23917s
 226124 164177  638.02054  223  922  554.26021 5021.74493   806%   613 23992s
 226891 164904 4857.45375   69 2131  554.26021 5021.74493   806%   613 24067s
 227735 165647  951.51752   95  627  554.26021 5021.74493   806%   613 24134s
 228622 165653  840.13475  110  668  554.26021 5021.74493   806%   613 24329s
H228624 165580                     554.3796413 5021.74493   806%   613 24329s
H228625 165542                     554.4401361 5021.74493   806%   613 24329s
H228626 165455                     554.5721460 5021.74493   806%   613 24329s
H228628 165508                     554.5721462 5021.74493   806%   613 24418s
H228629 165508                     554.5721464 5021.74493   806%   613 24418s
 228681 165780  803.16036  111  495  554.57215 5021.74493   806%   613 24466s
 228965 166774  744.40275  113  453  554.57215 5021.31606   805%   614 24541s
 230077 167399 3658.42518  147 2000  554.57215 5021.10824   805%   614 24616s
 230740 167833 2311.94230  188 1806  554.57215 5021.10824   805%   616 24688s
 231212 168096 1494.46900  210 1771  554.57215 5021.10824   805%   618 24759s
 231533 168594  610.27198  220 1645  554.57215 5021.10824   805%   620 24824s
 232067 169471  564.62231  222 1663  554.57215 5021.04262   805%   621 24896s
 233119 169939  724.61900  193 1383  554.57215 5021.00954   805%   621 24953s
 233676 170576 3424.85562  142 1725  554.57215 5021.00954   805%   622 25020s
 234425 170756  564.61365  244 1064  554.57215 5020.60500   805%   622 25110s
 234668 170893 4366.90230  101 2087  554.57215 5020.60500   805%   622 25156s
 234813 171506 2932.37303  125 1734  554.57215 5020.60500   805%   623 25224s
 235538 172398 3871.87759   89 1762  554.57215 5020.55638   805%   623 25297s
 236514 172974 4679.10696   83 2021  554.57215 5020.51909   805%   623 25423s
 237183 173772  699.71825  216 1254  554.57215 5020.50928   805%   624 25494s
 238095 174818 2365.66554  130 1267  554.57215 5020.44570   805%   625 25565s
 239229 175461 4202.49040  113 2037  554.57215 5020.44570   805%   625 25623s
 239894 175833 3277.01184  163 2020  554.57215 5020.44570   805%   626 25690s
 240318 176173 2462.53192  203 1895  554.57215 5020.44570   805%   627 25762s
 240674 176301 1603.44320  222 1840  554.57215 5020.44570   805%   629 26149s
 240822 176483 1258.39598  225 1774  554.57215 5020.44570   805%   629 26198s
 241027 176724 1528.44003  224 1810  554.57215 5020.44570   805%   630 26276s
 241291 176750  901.68798  229 1704  554.57215 5020.44570   805%   631 26331s
 241350 177248  854.62606  230 1703  554.57215 5020.44570   805%   631 26423s
 241960 177957  586.41405  237 1707  554.57215 5020.44570   805%   633 26488s
 242702 178956  557.48059  262 1683  554.57215 5020.21529   805%   633 26562s
 243808 179538  837.40511  180  830  554.57215 5020.14920   805%   634 26628s
 244511 180299 4469.25160   78 2113  554.57215 5020.09796   805%   634 26714s
 245294 180517 1400.98472  144  888  554.57215 5020.09796   805%   636 26784s
 245524 180654 infeasible  147       554.57215 5020.09796   805%   637 26869s
 245715 180932 1196.68095  170  856  554.57215 5020.09796   805%   639 26938s
 246041 181219 1212.80647  172  839  554.57215 5020.09796   805%   640 27016s
 246360 181354  975.32634  175  830  554.57215 5020.09796   805%   641 27126s
 246546 181700  975.31850  175  836  554.57215 5020.09796   805%   642 27199s
 246920 182154 1196.87703  173  856  554.57215 5020.09796   805%   643 27275s
 247454 182327  974.74809  174  830  554.57215 5020.09796   805%   643 27353s
 247635 182785  797.71953  179  791  554.57215 5020.09796   805%   644 27437s
 248128 183095  659.63467  183  792  554.57215 5020.09796   805%   647 27528s
 248523 183586  579.98898  186  713  554.57215 5019.30710   805%   648 27606s
 249114 183934 2027.81273  156 1687  554.57215 5019.30710   805%   650 27682s
 249470 184622  627.07954  257 1569  554.57215 5019.27028   805%   651 27771s
 250240 185349 4974.61493   40 2159  554.57215 5019.27028   805%   651 27840s
 251044 186308 2613.35814  183 1742  554.57215 5019.27028   805%   651 27928s
 252056 186314 1682.00710  204 1715  554.57215 5019.27028   805%   652 28021s
H252057 186314                     554.5721532 5019.27028   805%   652 28021s
 252062 186976 1671.65508  205 1725  554.57215 5018.75462   805%   652 28103s
 252842 188147 4702.99130   67 2172  554.57215 5018.60300   805%   652 28194s
 254122 188951 4799.24917   62 2097  554.57215 5018.59343   805%   652 28288s
 254948 188957 2688.92573  170 1890  554.57215 5018.59343   805%   655 28476s
 254954 189036 2716.46156  168 1905  554.57215 5018.59343   805%   655 28523s
 255041 189421 2288.29762  180 1874  554.57215 5018.59343   805%   656 28614s
 255462 189705 1419.93735  205 1787  554.57215 5018.59343   805%   658 28715s
 255788 190342  965.22179  222 1735  554.57215 5018.59343   805%   660 28809s
 256563 191201  652.14587  228 1761  554.57215 5018.58135   805%   661 28896s
 257488 191631 4066.30845  106 2097  554.57215 5018.58135   805%   662 28983s
 258000 192740 3604.08605  133 2029  554.57215 5018.58135   805%   662 29080s
 259186 193677  602.49957  308 1571  554.57215 5018.58135   805%   662 29152s
 260195 194424  558.83142  558 1257  554.57215 5018.58135   805%   661 29221s
 260996 195179 1799.65682  168 1598  554.57215 5018.58135   805%   662 29313s
 261849 195554 2101.85411   86 1096  554.57215 5018.58135   805%   664 29384s
 262308 196076 1859.34995   65 1031  554.57215 5018.58135   805%   665 29458s
 262852 196268  783.79258   95  598  554.57215 5018.58135   805%   666 29545s
 263138 196634  667.32097   96  527  554.57215 5018.58135   805%   666 29603s
 263540 197593 3217.55390  133 1760  554.57215 5018.58135   805%   667 29696s
 264667 198572 1891.18841  167 1558  554.57215 5018.58008   805%   667 29778s
 265728 199653 1136.91255  196 1709  554.57215 5018.58008   805%   668 29855s
 266881 200735 4482.10075   89 2072  554.57215 5018.58008   805%   667 29934s
 268072 201197     cutoff  196       554.57215 5018.58008   805%   666 30000s

