Winding,Cooling System,OPS,Oil,Profit
0.0,0.6,0.0,0.4,29.55489
1.0,0.4,0.0,0.4,194.98230
1.0,0.0,0.0,0.0,147.17763
1.0,0.4,0.0,0.6,158.53972
1.0,0.0,0.0,0.4,161.50559
1.0,0.4,0.0,0.8,146.54245
1.0,0.6,0.0,0.6,98.82279
1.0,0.0,0.0,0.8,177.73115
1.0,0.6,0.0,0.8,126.08837
1.0,0.2,0.6,0.4,3.38299
1.0,0.8,0.0,0.4,16.46816
1.0,0.0,0.0,0.6,156.22219
1.0,0.6,0.4,0.4,62.57024
1.0,0.4,0.0,0.2,159.08428
1.0,0.6,0.0,0.4,134.86953
1.0,0.2,0.4,0.4,86.02163
1.0,0.2,0.4,0.6,46.68446
1.0,0.6,0.0,0.0,116.50554
1.0,0.4,0.0,0.0,161.66598
1.0,0.2,0.4,0.2,85.89000
1.0,0.4,0.6,0.2,25.87227
1.0,0.2,0.0,0.8,144.96602
1.0,0.2,0.6,0.6,4.49893
1.0,0.2,0.4,0.0,84.80532
1.0,0.2,0.2,0.4,118.73833
1.0,0.2,0.2,0.6,122.97762
1.0,0.0,0.6,0.4,-48.40222
1.0,0.2,0.6,0.8,-7.73759
1.0,0.8,0.0,0.0,1.25742
1.0,0.2,0.2,0.8,102.61012
