Winding,Cooling System,OPS,Oil,Profit
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,0.8,0.0
1.0,1.0,1.0,0.6,0.0
1.0,1.0,1.0,0.4,0.0
1.0,1.0,1.0,0.2,0.0
1.0,1.0,1.0,0.0,0.0
1.0,1.0,0.8,1.0,0.0
1.0,1.0,0.8,0.8,-439.9
1.0,1.0,0.8,0.6,-435.9
1.0,1.0,0.8,0.4,-435.9
1.0,1.0,0.8,0.2,-435.9
1.0,1.0,0.8,0.0,-435.9
1.0,1.0,0.6,1.0,0.0
1.0,1.0,0.6,0.8,-926.9
1.0,1.0,0.6,0.6,-920.8
1.0,1.0,0.6,0.4,-986.9
1.0,1.0,0.6,0.2,-920.8
1.0,1.0,0.6,0.0,-920.8
1.0,1.0,0.4,1.0,0.0
1.0,1.0,0.4,0.8,-926.9
1.0,1.0,0.4,0.6,-920.8
1.0,1.0,0.4,0.4,-920.8
1.0,1.0,0.4,0.2,-920.8
1.0,1.0,0.4,0.0,-920.8
1.0,1.0,0.2,1.0,0.0
1.0,1.0,0.2,0.8,-923.2
1.0,1.0,0.2,0.6,-920.8
1.0,1.0,0.2,0.4,-920.8
1.0,1.0,0.2,0.2,-920.8
1.0,1.0,0.2,0.0,-920.8
1.0,1.0,0.0,1.0,0.0
1.0,1.0,0.0,0.8,-409.8
1.0,1.0,0.0,0.6,-402.9
1.0,1.0,0.0,0.4,-402.9
1.0,1.0,0.0,0.2,-986.8
1.0,1.0,0.0,0.0,-402.9
1.0,0.8,1.0,1.0,0.0
1.0,0.8,1.0,0.8,0.0
1.0,0.8,1.0,0.6,0.0
1.0,0.8,1.0,0.4,0.0
1.0,0.8,1.0,0.2,0.0
1.0,0.8,1.0,0.0,0.0
1.0,0.8,0.8,1.0,-130.2
1.0,0.8,0.8,0.8,-59.6
1.0,0.8,0.8,0.6,-59.8
1.0,0.8,0.8,0.4,-59.6
1.0,0.8,0.8,0.2,-59.6
1.0,0.8,0.8,0.0,-59.5
1.0,0.8,0.6,1.0,-78.8
1.0,0.8,0.6,0.8,-16.5
1.0,0.8,0.6,0.6,-15.1
1.0,0.8,0.6,0.4,-15.2
1.0,0.8,0.6,0.2,-3.9
1.0,0.8,0.6,0.0,0.9
1.0,0.8,0.4,1.0,-50.1
