Winding,Cooling System,OPS,Oil,Profit
45,25,30,1,192.703
50,25,35,1,192.703
50,25,25,1,192.703
45,25,25,1,192.703
40,25,30,1,192.703
35,25,35,1,192.703
35,25,30,1,192.703
50,25,30,1,192.703
30,25,35,1,192.703
40,25,35,1,192.703
35,25,25,1,192.703
30,25,30,1,192.703
45,25,35,1,192.703
30,25,25,1,192.703
40,25,25,1,192.703
50,20,30,4,226.188
45,20,25,4,226.188
50,20,25,4,226.188
40,20,35,4,226.188
30,20,25,4,226.188
45,20,30,4,226.188
35,20,35,4,226.188
30,20,30,4,226.188
30,20,35,4,226.188
45,20,35,4,226.188
35,20,30,4,226.188
40,20,25,4,226.188
35,20,25,4,226.188
50,20,35,4,226.188
40,20,30,4,226.188
