d_prime,load_effect,Profit
1.0098,10.3939,168.4857
0.9948,9.2626,61.4114
0.9983,9.4646,77.5009
0.9902,9.1818,4.6586
1.0017,9.1212,154.3752
0.9946,10.1111,46.0550
1.0086,10.9192,171.6561
1.0043,9.5253,165.3368
1.0092,10.3333,168.2360
1.0029,10.6970,170.6674
0.9977,10.6364,70.0060
0.9953,9.5657,86.3767
1.0015,9.3232,161.2288
0.9934,10.1717,62.4868
1.0043,10.8586,171.0650
0.9975,9.5859,98.6569
1.0080,9.6061,164.7560
0.9906,10.8182,70.2113
0.9965,9.4444,91.4808
1.0009,10.4141,162.6714
1.0045,9.6263,164.4244
1.0027,9.6465,165.9699
0.9916,10.2727,20.2814
1.0019,10.7374,170.6438
0.9983,10.4545,102.0859
1.0047,9.2626,154.9063
0.9926,10.7980,63.5066
0.9967,10.2323,39.6635
0.9926,10.3535,65.7574
0.9969,10.8788,53.7309
1.0066,9.4848,164.1593
0.9924,10.6768,62.6824
1.0100,10.1717,168.1832
1.0090,10.7576,170.5327
0.9912,9.3434,49.1018
1.0072,10.1111,167.3190
0.9955,9.1818,87.2756
0.9908,10.4747,69.7605
0.9916,10.8990,49.5323
1.0039,10.6566,170.3924
0.9902,10.3131,69.1594
0.9953,9.5051,88.6484
1.0094,9.4444,164.8738
0.9900,10.3737,68.9260
1.0082,10.2525,164.5465
0.9900,10.7778,69.3710
0.9940,9.6465,87.4377
0.9920,10.5960,55.2037
0.9969,10.1515,87.0963
1.0021,10.6162,170.2608
0.9920,9.3232,19.8402
1.0098,10.7980,169.9307
0.9906,9.6061,33.0233
0.9912,10.1919,37.4772
1.0066,10.8990,171.1944
1.0098,10.4545,169.1084
1.0013,10.4343,166.4863
1.0072,10.3737,168.8607
1.0084,9.5051,164.4726
1.0096,10.5960,168.7125
0.9920,10.7576,43.8821
1.0094,9.3232,164.5519
1.0098,10.1919,166.1814
0.9908,9.6263,48.8625
1.0074,10.6768,170.4382
1.0098,10.8182,170.4449
1.0066,10.2727,168.5040
0.9916,10.8586,57.7421
0.9908,9.5253,68.3042
0.9924,10.3333,64.3683
1.0098,10.3131,168.4903
1.0070,9.5657,164.7572
0.9926,9.4848,41.5227
0.9924,10.3939,69.0956
1.0090,9.2626,163.3633
0.9914,10.2525,36.7531
0.9900,10.6970,69.2820
1.0096,9.6465,165.8349
1.0037,9.1212,161.9836
1.0074,10.1515,167.5023
0.9918,10.6566,4.9100
0.9906,10.6162,40.3256
1.0070,10.7778,170.5039
0.9902,10.2121,45.4514
1.0088,9.3434,163.9165
1.0098,10.3535,166.1457
0.9914,10.4343,57.7622
0.9904,10.8384,34.7459
0.9900,9.4646,67.9238
1.0003,10.9192,108.6811
0.9485,10.1465,17.3526
0.9525,9.7727,19.9156
0.9111,10.3384,5.5130
0.9535,10.0253,20.6349
0.9172,10.4495,6.5774
0.9828,10.2576,47.9813
0.9273,9.7727,8.8720
0.9020,10.0556,4.2441
0.9788,9.9747,45.9239
0.9343,9.9242,11.0100
0.9172,10.4293,6.5774
0.9778,10.2980,42.0830
0.9495,10.2071,17.9553
0.9051,10.1768,4.6292
0.9051,10.2374,4.6294
0.9586,9.7323,24.6617
0.9505,10.0960,18.5816
0.9859,9.7121,62.9721
0.9061,10.4091,4.7662
0.9869,10.1263,62.0686
0.9828,10.3283,48.0246
0.9889,10.1869,66.4493
0.9838,9.9444,55.0613
0.9313,9.9646,10.0304
0.9061,10.1364,4.7653
0.9232,9.8030,7.8618
0.9323,10.2677,10.3478
0.9071,10.2980,4.9062
0.9939,10.0051,63.8157
0.9162,9.7424,6.3827
0.9374,10.3990,12.1051
0.9788,10.0455,45.9555
0.9818,9.7626,47.0278
0.9131,10.0960,5.8447
0.9939,10.0960,70.0431
0.9222,10.0051,7.6309
0.9475,10.3586,16.7780
0.9061,9.9343,4.7647
0.9717,9.9141,36.7009
0.9465,9.8939,16.2177
0.9404,9.7121,13.3172
0.9939,9.7828,88.5454
0.9061,9.7222,4.7641
0.9455,10.2374,15.6902
0.9212,10.4697,7.4079
0.9172,10.3788,6.5769
0.9212,10.4899,7.4083
0.9515,10.1768,19.2381
0.9737,10.2273,38.3143
0.9061,10.0253,4.7650
0.9525,10.2980,19.9243
0.9384,10.0455,12.4929
0.9040,9.7020,4.4960
0.9970,10.2879,90.5677
0.9636,10.0657,29.6008
0.9020,10.1970,4.2445
0.9576,9.9848,23.7973
0.9980,10.3384,99.6187
0.9889,10.0657,66.5792
0.9556,9.9545,22.1638
0.9859,9.9040,63.1004
0.9364,10.4495,11.7285
0.9010,10.4596,4.1250
0.9232,10.1566,7.8637
0.9030,10.4899,4.3697
0.9273,10.3081,8.8755
0.9566,9.7020,22.9636
0.9232,10.1162,7.8635
0.9384,10.3384,12.4957
0.9212,10.0758,7.4059
0.9960,9.7525,103.9783
0.9909,10.0253,71.5633
0.9293,10.1869,9.4336
0.9949,9.9646,89.7151
0.9354,9.8131,11.3597
0.9081,10.3586,5.0512
0.9576,10.3283,23.8046
0.9667,10.2778,33.1635
