Winding,Cooling System,OPS,Oil,Profit
50,25,20,4,94.093
35,25,20,4,94.093
30,25,20,4,94.093
40,25,20,4,94.093
45,25,20,4,94.093
40,25,25,1,74.806
50,25,30,1,74.806
35,25,30,1,74.806
35,25,25,1,74.806
35,5,30,7,74.124
30,25,35,1,74.806
45,5,25,7,74.124
40,5,25,7,74.124
30,5,30,7,74.124
30,25,25,1,74.806
35,5,25,7,74.124
30,25,30,1,74.806
45,5,30,7,74.124
50,25,25,1,74.806
35,25,35,1,74.806
35,5,35,7,74.124
30,5,35,7,74.124
50,25,35,1,74.806
50,5,35,7,74.124
40,5,35,7,74.124
50,5,30,7,74.124
45,25,35,1,74.806
45,25,30,1,74.806
45,25,25,1,74.806
40,25,30,1,74.806
