Winding,Cooling System,OPS,Oil,Profit
30,5,5,1,-13537
30,5,5,4,-14881
30,5,5,7,-15212
30,5,5,10,-15167
30,5,10,1,-15168
30,5,10,4,-14866
30,5,10,7,-15172
30,5,10,10,-14868
30,5,15,1,-14842
30,5,15,4,-14803
30,5,15,7,-14826
30,5,15,10,-14825
30,5,20,1,-14816
30,5,20,4,-14821
30,5,20,7,-12672
30,5,20,10,-14833
30,5,25,1,-11807
30,5,25,4,-14927
30,5,25,7,-14859
30,5,25,10,-14566
30,5,30,1,-9929
30,5,30,4,-10692
30,5,30,7,-10597
30,5,30,10,-10107
30,5,35,1,-14496
30,5,35,4,-14791
30,5,35,7,-13013
30,5,35,10,-14520
30,10,5,1,-14877
30,10,5,4,-14906
30,10,5,7,-14899
30,10,5,10,-15165
30,10,10,1,-15198
30,10,10,4,-15167
30,10,10,7,-14912
30,10,10,10,-15167
30,10,15,1,-14868
30,10,15,4,-14841
30,10,15,7,-14840
30,10,15,10,-14826
30,10,20,1,-14796
30,10,20,4,-14492
30,10,20,7,-14791
30,10,20,10,-14795
30,10,25,1,-12433
30,10,25,4,-14842
30,10,25,7,-14906
30,10,25,10,-12022
30,10,30,1,-11008
30,10,30,4,-10475
30,10,30,7,-10227
30,10,30,10,-10426
30,10,35,1,-12717
30,10,35,4,-14821
30,10,35,7,-14542
30,10,35,10,-14819
30,15,5,1,-15161
30,15,5,4,-15165
30,15,5,7,-14868
30,15,5,10,-14872
30,15,10,1,-15170
30,15,10,4,-15179
30,15,10,7,-15186
30,15,10,10,-15187
30,15,15,1,-14816
30,15,15,4,-14825
30,15,15,7,-14820
30,15,15,10,-15206
30,15,20,1,-14776
30,15,20,4,-14824
30,15,20,7,-14801
30,15,20,10,-14499
30,15,25,1,-13436
30,15,25,4,-14496
30,15,25,7,-13735
30,15,25,10,-14845
30,15,30,1,-10557
30,15,30,4,-10778
30,15,30,7,-10516
30,15,30,10,-10853
30,15,35,1,-12270
30,15,35,4,-14827
30,15,35,7,-12691
30,15,35,10,-14839
30,20,5,1,-14881
30,20,5,4,-15172
30,20,5,7,-14874
30,20,5,10,-15179
30,20,10,1,-14848
30,20,10,4,-15175
30,20,10,7,-15172
30,20,10,10,-14877
30,20,15,1,-11816
30,20,15,4,-15166
30,20,15,7,-14855
30,20,15,10,-14826
30,20,20,1,-14797
30,20,20,4,-14485
30,20,20,7,-14782
30,20,20,10,-14843
30,20,25,1,-11624
30,20,25,4,-14836
30,20,25,7,-14841
30,20,25,10,-14866
30,20,30,1,-10528
30,20,30,4,-10341
30,20,30,7,-10122
30,20,30,10,-9980
30,20,35,1,-14810
30,20,35,4,-14784
30,20,35,7,-14515
30,20,35,10,-12601
30,25,5,1,-14222
30,25,5,4,-14835
